user_id,birthdate,gender,married,has_children,home_country,home_city,latest_session,total_trips,total_cancellations,total_sessions,total_cancellation_rate,average_checked_bags,prefers_flights,prefers_hotels,prefers_both,conversion_rate,average_clicks,total_clicks,click_efficiency,average_hotel_discount,average_flight_discount,flight_discount_proportion,hotel_discount_proportion,both_discount_proportion,discount_responsiveness,total_hotel_usd_spent,total_flight_usd_spent,total_usd_spent,hotel_hunter_index,scaled_ads_per_km,flight_hunter_index
23557,1958-12-08,F,True,False,usa,new york,2023-07-14,5,1,12,0.2,1.0,0.2,0.4,0.4,0.4166666666666667,15.416666666666666,185,37.0,0.175,0.15,0.0833333333333333,0.1666666666666666,0.0,0.0833333333333333,563,1344.96,1907.96,0.004796098161593,0.013181144107221262,0.0001647643013402657
94883,1972-03-16,F,True,False,usa,kansas city,2023-05-28,3,0,12,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.25,8.333333333333332,100,33.333333333333336,0.075,0.1,0.0833333333333333,0.1666666666666666,0.0,0.0277777777777777,230,5354.86,5584.86,0.0,0.0,0.0
101486,1972-12-07,F,True,True,usa,tacoma,2023-07-18,5,1,13,0.2,1.75,0.0,0.2,0.8,0.3846153846153846,26.153846153846157,340,68.0,0.0,0.075,0.3076923076923077,0.0,0.0,0.0,1195,5994.28,7189.28,0.0,0.17858036479237602,0.004121085341362523
101961,1980-09-14,F,True,False,usa,boston,2023-06-22,7,0,12,0.0,0.5,0.0,0.1428571428571428,0.8571428571428571,0.5833333333333334,18.166666666666664,218,31.142857142857142,0.1,0.1333333333333333,0.25,0.0833333333333333,0.0,0.0119047619047619,1052,1929.2,2981.2,0.0,0.002909505006589826,9.698350021966085e-05
106907,1978-11-17,F,True,True,usa,miami,2023-07-27,4,1,14,0.25,3.6666666666666665,0.0,0.25,0.75,0.2857142857142857,26.285714285714285,368,92.0,0.2,0.15,0.0714285714285714,0.0714285714285714,0.0,0.0178571428571428,1185,27969.63,29154.63,0.0016230871408555,0.0,0.0
118043,1972-05-04,F,False,True,usa,los angeles,2023-07-15,7,1,13,0.1428571428571428,0.6,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.5384615384615384,16.153846153846153,210,30.0,0.125,0.1666666666666666,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.1428571428571428,1103,2458.31,3561.31,0.0011463507833397,0.0,0.0
120851,1972-09-25,F,True,True,usa,santa ana,2023-06-12,5,1,13,0.2,0.6,0.2,0.0,0.8,0.3846153846153846,25.307692307692307,329,65.8,0.0,0.175,0.3076923076923077,0.0,0.0,0.0615384615384615,510,7925.72,8435.72,0.0,0.0003077968779324725,1.657367804251775e-05
125845,1983-12-01,F,True,False,usa,el paso,2023-07-20,6,1,13,0.1666666666666666,0.6666666666666666,0.0,0.0,1.0,0.4615384615384615,26.153846153846157,340,56.66666666666666,0.0666666666666666,0.15,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0769230769230769,1439,12460.84,13899.84,0.00024037440927,0.028002391335179677,0.0003231045154059192
133058,2005-04-07,F,False,False,usa,austin,2023-07-16,2,0,13,0.0,0.0,0.5,0.5,0.0,0.1538461538461538,8.692307692307693,113,56.5,0.0833333333333333,0.15,0.0769230769230769,0.2307692307692307,0.0,0.1538461538461538,205,423.51,628.51,0.0014476352840892,0.0,0.0
149058,1973-01-22,F,False,True,usa,birmingham,2023-06-19,7,1,12,0.1428571428571428,0.5714285714285714,0.0,0.0,1.0,0.5833333333333334,15.416666666666666,185,26.428571428571427,0.0,0.05,0.0833333333333333,0.0,0.0,0.0,1225,3954.14,5179.14,0.0,0.003927724254658354,1.6365517727743137e-05
